,time,open,high,low,close,tick_volume,spread,real_volume
213,1703936280,273.49,273.49,271.41,271.71,28,199,0
214,1703936340,271.88,272.62,271.39,272.41,21,191,0
215,1703936400,272.21,273.12,271.76,272.41,27,189,0
216,1703936460,272.59,272.94,272.12,272.83,23,197,0
217,1703936520,272.63,272.63,271.3,271.51,25,206,0
218,1703936580,271.32,271.5,270.41,271.5,40,204,0
219,1703936640,271.5,271.96,270.8,271.6,26,205,0
220,1703936700,271.87,271.94,270.78,271.42,21,187,0
221,1703936760,271.22,271.67,271.02,271.66,11,213,0
222,1703936820,271.67,271.89,271.38,271.54,13,190,0
223,1703936880,271.74,272.05,271.42,271.61,11,195,0
224,1703936940,271.81,271.82,271.02,271.55,15,208,0
225,1703937000,271.55,271.83,271.27,271.83,10,191,0
226,1703937060,271.83,272.65,271.83,272.02,12,192,0
227,1703937120,272.21,273.26,272.21,272.74,17,202,0
228,1703937180,272.74,272.74,271.53,271.53,15,192,0
229,1703937240,271.72,272.26,271.31,272.26,19,195,0
230,1703937300,272.26,272.61,272.26,272.48,7,197,0
231,1703937360,272.69,272.69,271.96,272.57,11,199,0
232,1703937420,272.8,272.8,271.99,271.99,6,188,0
233,1703937480,272.19,272.48,271.63,272.48,6,189,0
234,1703937540,272.48,272.48,271.68,271.97,14,179,0
235,1703937600,271.97,272.16,271.68,272,10,198,0
236,1703937660,272,272.22,271.58,272.22,6,184,0
237,1703937720,272.41,273.27,272.41,273,21,187,0
238,1703937780,272.76,273.56,272.76,273.29,13,200,0
239,1703937840,273.49,273.51,272.19,272.19,25,186,0
240,1703937900,272.19,272.19,270.43,270.82,26,207,0
241,1703937960,270.63,271.2,270.23,270.74,25,189,0
242,1703938020,270.96,272.03,270.57,271.93,31,196,0
243,1703938080,272.07,272.68,271.56,272.68,6,191,0
244,1703938140,272.68,273.7,272.26,273.7,16,199,0
245,1703938200,273.48,274.13,272.81,273.93,24,178,0
246,1703938260,273.93,274.16,273.23,274.05,18,196,0
247,1703938320,274.05,274.45,273.79,273.93,10,179,0
248,1703938380,274.14,274.51,273.84,274.51,7,177,0
249,1703938440,274.5,274.5,273.2,273.99,10,216,0
250,1703938500,274.21,274.41,273.19,273.96,10,210,0
251,1703938560,273.76,274.15,273.2,273.23,9,205,0
252,1703938620,273.48,273.78,273.23,273.23,6,213,0
253,1703938680,273.83,273.83,272.83,273.1,7,208,0
254,1703938740,273.1,273.73,273.1,273.66,6,197,0
255,1703938800,273.44,273.7,272.93,273.63,7,171,0
256,1703938860,272.93,273.49,272.85,273.27,10,193,0
257,1703938920,273.27,273.44,272.99,273.4,8,198,0
258,1703938980,273.21,273.22,272.91,272.92,7,204,0
259,1703939040,272.92,272.92,272.42,272.9,4,206,0
260,1703939100,272.9,273.03,272.77,272.98,6,183,0
261,1703939160,272.98,272.98,272.36,272.5,5,188,0
262,1703939220,272.5,272.99,272.44,272.74,7,188,0
263,1703939280,272.74,273.01,272.74,273.01,2,196,0
264,1703939340,272.78,272.78,272.54,272.54,2,199,0
265,1703939400,272.67,273.13,272.67,272.91,5,173,0
266,1703939460,273.1,274.03,272.92,273.48,11,175,0
267,1703939520,273.68,273.68,272.74,272.8,6,206,0
